icme_plasma_field_start_ut,icme_plasma_field_end_ut
1995-02-08 03:34:17,1995-02-08 21:00:00
1995-03-04 11:42:51,1995-03-05 00:08:34
1995-04-01 16:34:17,1995-04-02 05:42:51
1995-04-03 13:00:00,1995-04-04 12:51:25
1995-05-13 10:25:42,1995-05-13 15:47:08
1995-06-30 14:06:00,1995-07-01 06:58:29
1995-08-22 22:17:08,1995-08-23 18:59:59
1995-09-15 18:17:08,1995-09-16 03:08:34
1995-09-27 13:59:59,1995-09-27 21:00:00
1995-10-18 19:00:00,1995-10-19 23:08:34
1995-12-02 12:30:00,1995-12-02 19:31:04
1995-12-16 07:47:08,1995-12-16 19:00:00
1996-05-27 14:44:15,1996-05-28 11:21:25
1996-07-01 17:15:00,1996-07-02 10:16:29
1996-08-07 11:42:00,1996-08-08 08:14:59
1996-12-24 02:53:15,1996-12-24 13:41:15
1996-12-24 16:23:15,1996-12-25 11:24:00
1997-01-10 04:41:15,1997-01-11 02:57:45
1997-02-10 02:46:30,1997-02-10 18:40:30
1997-04-11 05:57:03,1997-04-11 14:55:30
1997-04-21 12:02:15,1997-04-23 10:30:00
1997-05-15 09:51:45,1997-05-15 23:28:30
1997-05-26 16:12:00,1997-05-27 10:00:00
1997-06-08 19:14:15,1997-06-09 23:01:30
1997-07-15 09:00:00,1997-07-16 11:01:29
1997-08-03 13:52:30,1997-08-04 02:15:00
1997-09-03 13:45:00,1997-09-03 20:40:30
1997-09-21 22:00:00,1997-09-22 00:25:42
1997-09-22 01:34:17,1997-09-22 17:25:42
1997-10-01 17:07:52,1997-10-02 23:07:46
1997-10-10 12:38:34,1997-10-10 16:55:42
1997-10-10 21:37:58,1997-10-11 14:33:11
1997-10-27 10:34:30,1997-10-28 04:57:00
1997-11-07 15:31:25,1997-11-08 03:19:59
1997-11-08 06:00:00,1997-11-08 14:25:42
1997-11-22 18:51:25,1997-11-23 12:49:30
1997-12-10 18:26:26,1997-12-11 05:00:00
1997-12-11 06:17:40,1997-12-11 10:36:36
1998-01-07 02:53:15,1998-01-08 07:27:45
1998-01-20 17:37:30,1998-01-21 00:52:30
1998-01-21 05:22:30,1998-01-22 00:59:59
1998-01-29 23:03:45,1998-01-30 23:08:15
1998-02-03 12:42:51,1998-02-04 02:16:41
1998-02-04 05:00:00,1998-02-05 22:27:22
1998-02-17 10:23:15,1998-02-17 20:38:34
1998-02-19 00:11:15,1998-02-20 00:29:15
1998-03-04 14:37:30,1998-03-05 20:29:09
1998-03-06 22:16:30,1998-03-07 09:36:00
1998-03-25 16:11:48,1998-03-26 09:10:41
1998-04-01 01:30:28,1998-04-01 17:39:45
1998-04-01 20:29:43,1998-04-02 11:48:28
1998-04-12 01:12:00,1998-04-13 03:58:30
1998-05-02 11:48:45,1998-05-04 05:01:30
1998-05-04 11:42:00,1998-05-05 05:06:00
1998-05-05 07:03:00,1998-05-06 23:42:00
1998-05-07 12:51:25,1998-05-07 21:19:17
1998-06-14 02:20:37,1998-06-14 23:20:37
1998-06-24 13:25:30,1998-06-24 22:48:00
1998-06-25 03:04:30,1998-06-25 22:07:30
1998-06-26 07:48:00,1998-06-26 19:39:00
1998-07-06 21:24:22,1998-07-07 14:06:00
1998-07-07 15:20:15,1998-07-09 05:55:30
1998-07-11 15:27:00,1998-07-12 22:39:00
1998-08-01 15:38:15,1998-08-03 10:30:00
1998-08-06 01:38:34,1998-08-06 12:25:42
1998-08-10 16:34:30,1998-08-10 22:43:30
1998-08-20 09:11:15,1998-08-21 20:24:00
1998-08-27 05:37:30,1998-08-28 00:45:00
1998-09-23 04:21:00,1998-09-23 17:51:00
1998-09-25 06:15:45,1998-09-26 16:27:45
1998-10-19 04:21:00,1998-10-20 07:00:45
1998-10-23 20:04:30,1998-10-24 19:02:03
1998-11-07 22:21:00,1998-11-08 11:24:00
1998-11-09 03:45:00,1998-11-10 05:50:59
1998-11-13 04:27:17,1998-11-14 07:00:00
1998-11-30 10:07:30,1998-11-30 18:20:15
1999-01-04 04:07:30,1999-01-04 23:28:30
1999-01-23 05:37:30,1999-01-23 14:37:30
1999-02-17 12:22:30,1999-02-18 10:30:00
1999-02-18 12:56:15,1999-02-19 08:15:00
1999-02-19 23:48:45,1999-02-20 18:33:45
1999-03-19 13:16:30,1999-03-20 06:09:00
1999-04-16 18:45:00,1999-04-17 19:48:00
1999-07-03 06:41:15,1999-07-05 13:57:22
1999-07-05 20:39:45,1999-07-06 18:37:52
1999-07-06 21:36:00,1999-07-07 02:02:08
1999-07-07 06:51:25,1999-07-07 15:19:17
1999-07-08 10:01:52,1999-07-08 22:10:52
1999-07-27 16:05:15,1999-07-29 09:56:15
1999-08-01 04:14:15,1999-08-02 04:12:00
1999-08-09 10:18:56,1999-08-10 16:15:00
1999-08-21 15:18:00,1999-08-23 14:06:00
1999-09-15 08:57:30,1999-09-15 16:20:59
1999-09-21 20:25:42,1999-09-22 12:34:41
1999-09-22 23:24:00,1999-09-24 02:33:00
1999-10-21 09:41:15,1999-10-22 06:37:30
1999-11-12 19:00:00,1999-11-13 20:26:15
1999-11-22 01:54:45,1999-11-23 01:59:15
1999-11-23 06:52:29,1999-11-23 19:41:15
1999-11-23 20:18:45,1999-11-24 06:18:45
1999-12-12 20:10:30,1999-12-13 17:28:30
1999-12-14 10:34:30,1999-12-14 19:30:45
1999-12-26 08:33:25,1999-12-26 22:39:30
1999-12-27 19:07:30,1999-12-28 02:00:00
2000-02-11 16:17:37,2000-02-12 02:55:07
2000-02-12 17:28:30,2000-02-13 00:35:37
2000-02-21 13:21:00,2000-02-22 12:13:30
2000-03-01 03:33:44,2000-03-01 18:57:45
2000-03-01 20:16:07,2000-03-02 03:04:30
2000-03-19 17:49:01,2000-03-19 23:07:58
2000-03-20 00:16:18,2000-03-20 05:35:14
2000-03-29 23:44:15,2000-03-30 14:35:15
2000-03-31 03:09:00,2000-04-01 07:12:00
