code_no,icme_plasma_field_start_ut,icme_plasma_field_end_ut,quality
1,1995-02-08 05:48:00,1995-02-09 00:48:00,2
2,1995-03-04 10:48:00,1995-03-05 03:48:00,3
3,1995-04-06 07:18:00,1995-04-06 17:48:00,2
4,1995-05-13 10:54:00,1995-05-13 16:24:00,3
5,1995-08-22 21:18:00,1995-08-23 19:18:00,2
6,1995-10-18 19:48:00,1995-10-20 01:18:00,1
7,1995-12-16 05:18:00,1995-12-16 22:18:00,3
8,1996-05-27 15:18:00,1996-05-29 07:18:00,2
9,1996-07-01 17:18:00,1996-07-02 10:18:00,2
10,1996-08-07 12:18:00,1996-08-08 10:48:00,1
11,1996-12-24 02:48:00,1996-12-25 11:18:00,1
12,1997-01-10 05:18:00,1997-01-11 02:18:00,1
13,1997-02-10 03:24:00,1997-02-10 18:24:00,3
15,1997-05-15 09:06:00,1997-05-16 01:06:00,2
16,1997-05-16 06:06:00,1997-05-16 13:54:00,3
17,1997-06-09 02:18:00,1997-06-09 23:18:00,2
18,1997-06-19 05:06:00,1997-06-19 15:54:00,3
19,1997-07-15 08:48:00,1997-07-15 23:48:00,3
20,1997-08-03 14:06:00,1997-08-04 01:54:00,3
21,1997-09-18 00:30:00,1997-09-20 12:30:00,3
22,1997-09-22 00:48:00,1997-09-22 17:18:00,2
23,1997-10-01 16:18:00,1997-10-02 22:48:00,2
24,1997-10-10 23:48:00,1997-10-12 00:48:00,1
25,1997-11-07 15:48:00,1997-11-08 04:18:00,2
26,1997-11-08 04:54:00,1997-11-08 14:54:00,2
27,1997-11-22 15:48:00,1997-11-23 12:18:00,3
28,1998-01-07 03:18:00,1998-01-08 08:18:00,1
29,1998-01-08 14:54:00,1998-01-08 21:36:00,3
30,1998-02-04 04:30:00,1998-02-05 22:30:00,2
31,1998-03-04 14:18:00,1998-03-06 06:18:00,1
32,1998-05-02 12:18:00,1998-05-03 17:18:00,3
33,1998-06-02 10:36:00,1998-06-02 15:54:00,2
34,1998-06-24 16:48:00,1998-06-25 21:48:00,2
35,1998-08-20 10:18:00,1998-08-21 19:18:00,1
36,1998-09-25 10:18:00,1998-09-26 13:18:00,2
37,1998-10-19 05:06:00,1998-10-19 14:36:00,3
38,1998-11-08 23:48:00,1998-11-10 01:18:00,1
39,1999-02-18 14:18:00,1999-02-19 12:18:00,3
40,1999-04-16 20:18:00,1999-04-17 21:18:00,3
41,1999-08-09 10:48:00,1999-08-10 15:48:00,1
42,1999-09-21 21:06:00,1999-09-22 05:06:00,3
43,2000-02-12 17:06:00,2000-02-13 00:36:00,3
45,2000-07-15 06:48:00,2000-07-15 14:18:00,2
46,2000-07-15 21:06:00,2000-07-16 09:54:00,2
47,2000-07-28 21:06:00,2000-07-29 10:06:00,2
48,2000-08-01 00:06:00,2000-08-01 15:54:00,3
49,2000-08-12 06:06:00,2000-08-13 05:06:00,2
50,2000-09-18 01:54:00,2000-09-18 15:06:00,3
51,2000-10-03 17:06:00,2000-10-04 14:06:00,1
52,2000-10-13 18:24:00,2000-10-14 16:54:00,2
53,2000-10-28 23:18:00,2000-10-30 00:18:00,3
54,2000-11-06 23:06:00,2000-11-07 18:06:00,2
56,2001-04-04 20:54:00,2001-04-05 08:24:00,1
57,2001-04-12 07:54:00,2001-04-12 17:54:00,2
58,2001-04-22 00:54:00,2001-04-23 01:24:00,2
59,2001-04-29 01:54:00,2001-04-29 12:54:00,2
60,2001-05-28 11:54:00,2001-05-29 10:24:00,1
61,2001-07-10 17:18:00,2001-07-12 08:48:00,2
62,2001-10-31 21:18:00,2001-11-02 10:18:00,3
63,2001-11-24 15:48:00,2001-11-25 13:18:00,3
64,2002-03-19 22:54:00,2002-03-20 15:24:00,2
65,2002-03-24 03:48:00,2002-03-25 22:48:00,2
66,2002-04-18 04:18:00,2002-04-19 02:18:00,1
67,2002-04-20 11:48:00,2002-04-21 16:48:00,3
68,2002-05-19 03:54:00,2002-05-19 23:24:00,1
69,2002-05-23 23:24:00,2002-05-24 16:54:00,3
