index,icme_plasma_field_start_ut,icme_plasma_field_end_ut,MO_datestart,shock,MOclass,meanB,meanVsw,Vexp,save_name,DST,DST_note,DiP
0,1995-02-07 19:11:00,1995-02-10 21:36:00,1995-02-08T03:21:00.000Z,False,Cx,8.3157974415,377.3435331514,52.7178031236,WI_19950207_038,-80.0,,
1,1995-03-04 00:36:00,1995-03-05 03:06:48,1995-03-04T11:23:00.000Z,True,Fr,10.807445467,443.5065398192,10.6890363581,WI_19950304_063,-90.0,,
2,1995-03-06 02:11:00,1995-03-07 02:23:00,1995-03-06T07:11:00.000Z,False,F-,8.2396878906,458.2689145263,0.3145220979,WI_19950306_065,-38.0,,
3,1995-04-03 06:43:00,1995-04-04 13:25:48,1995-04-03T12:45:00.000Z,False,F+,8.9200809715,295.0344488443,4.032467134,WI_19950403_093,-21.0,,
4,1995-04-05 07:11:00,1995-04-06 17:15:48,1995-04-05T17:59:00.000Z,False,Fr,7.2961746206,332.0983605256,-1.645803185,WI_19950405_095,-18.0,,
5,1995-05-13 10:19:00,1995-05-13 15:59:48,1995-05-13T10:19:00.000Z,False,E,10.8719021889,329.3974679425,7.5148665514,WI_19950513_133,-8.0,,
6,1995-06-30 09:21:00,1995-07-02 16:47:00,1995-06-30T14:23:00.000Z,False,Fr,8.5760514358,397.6342124541,83.136102865,WI_19950630_181,-56.0,,
7,1995-08-22 12:56:00,1995-08-23 18:43:00,1995-08-22T22:19:00.000Z,True,Fr,9.7132554171,359.4329908995,16.3265107482,WI_19950822_234,-61.0,,
8,1995-09-26 15:57:00,1995-09-27 21:21:00,1995-09-27T03:36:00.000Z,False,Fr,9.7814926009,375.3481738488,-33.7138013573,WI_19950926_269,-108.0,,
9,1995-10-18 10:40:00,1995-10-20 02:23:00,1995-10-18T19:11:00.000Z,True,Fr,21.1517931478,407.8070041124,4.6388815607,WI_19951018_291,-127.0,,
10,1995-12-15 14:52:00,1995-12-16 19:11:00,1995-12-16T07:11:00.000Z,False,F-,11.0346581108,396.1348890654,4.7718878664,WI_19951215_349,-44.0,,
11,1996-02-15 15:07:00,1996-02-16 08:59:12,1996-02-15T15:07:00.000Z,False,F+,6.8915252883,386.7434878069,23.7294740257,WI_19960215_046,-23.0,,
12,1996-04-04 11:59:00,1996-04-04 21:36:12,1996-04-04T11:59:00.000Z,False,Fr,7.2941332475,388.9127751086,5.7980883718,WI_19960404_095,-28.0,,
13,1996-05-16 22:47:00,1996-05-17 11:58:48,1996-05-17T01:36:00.000Z,False,F+,7.0757583607,419.7229483117,8.3108362655,WI_19960516_137,-26.0,,
14,1996-05-27 14:45:00,1996-05-29 02:22:48,1996-05-27T14:45:00.000Z,False,Fr,9.7074304129,368.2977230433,28.6404971433,WI_19960527_148,-33.0,,
15,1996-07-01 13:05:00,1996-07-02 10:17:12,1996-07-01T17:16:00.000Z,False,Fr,10.9806422291,353.5998626292,12.7379422134,WI_19960701_183,-20.0,,
16,1996-07-02 16:04:00,1996-07-02 22:47:12,1996-07-02T16:04:00.000Z,False,F-,10.6805824405,394.8402520068,-24.1768122799,WI_19960702_184,-2.0,,
17,1996-08-07 08:23:00,1996-08-08 13:12:12,1996-08-07T11:59:00.000Z,False,Fr,6.6515264818,345.282825236,2.7712867341,WI_19960807_220,-23.0,,
18,1996-12-24 01:26:00,1996-12-25 11:44:48,1996-12-24T03:07:00.000Z,False,F+,10.3940949021,348.4366523831,37.8151699663,WI_19961224_359,-29.0,,
19,1997-01-10 00:52:00,1997-01-11 03:06:48,1997-01-10T04:47:00.000Z,True,F+,14.6306465893,437.1025895524,29.3230326803,WI_19970110_010,-78.0,,
20,1997-02-09 12:50:00,1997-02-10 18:28:00,1997-02-10T02:52:00.000Z,True,F-,7.8741541064,458.6024910429,16.9870209816,WI_19970209_040,-68.0,,
21,1997-04-10 17:02:00,1997-04-11 19:10:48,1997-04-11T05:45:00.000Z,False,Fr,18.4924889404,463.2492994263,4.277008152,WI_19970410_100,-82.0,,
22,1997-04-21 10:11:00,1997-04-23 07:11:00,1997-04-21T11:59:00.000Z,False,F+,11.3119763575,362.5243723342,42.0131705778,WI_19970421_111,-107.0,,
23,1997-05-15 01:15:00,1997-05-16 02:37:48,1997-05-15T10:00:00.000Z,True,F+,18.8394509224,469.1652068066,-38.0067842708,WI_19970515_135,-115.0,,
24,1997-05-16 06:01:00,1997-05-16 13:26:12,1997-05-16T06:01:00.000Z,False,Fr,7.8497909964,490.9329034465,17.4427522254,WI_19970516_136,-40.0,,
25,1997-05-26 09:09:00,1997-05-28 00:00:12,1997-05-26T15:35:00.000Z,True,Fr,9.4952785418,330.7967173409,16.6523518329,WI_19970526_146,-73.0,,
26,1997-06-08 15:43:00,1997-06-09 23:01:48,1997-06-09T06:18:00.000Z,False,Fr,11.9301517741,374.0090946642,8.5693322341,WI_19970608_159,-84.0,,
27,1997-06-19 00:00:00,1997-06-20 22:29:48,1997-06-19T05:31:00.000Z,False,Fr,7.3193941485,333.4697538675,36.9757651697,WI_19970619_170,-36.0,,
28,1997-07-15 03:10:00,1997-07-16 11:16:12,1997-07-15T06:48:00.000Z,False,F+,9.6244110785,359.0691277382,13.0471988783,WI_19970715_196,-44.0,,
29,1997-08-03 10:10:00,1997-08-04 02:23:12,1997-08-03T13:55:00.000Z,False,Fr,15.1159887926,435.9623922685,42.272425844,WI_19970803_215,-49.0,,
30,1997-08-17 01:56:00,1997-08-17 20:09:00,1997-08-17T06:33:00.000Z,False,Fr,6.7899785281,396.2791181569,13.5705441311,WI_19970817_229,-28.0,,
31,1997-09-02 22:40:00,1997-09-03 20:59:00,1997-09-03T08:38:00.000Z,True,Fr,13.656610754,408.8870468976,-5.4853248569,WI_19970902_245,-98.0,SA,
32,1997-09-18 00:30:00,1997-09-19 23:59:48,1997-09-18T04:07:00.000Z,False,F+,11.7340219144,320.2128382343,34.5192963779,WI_19970918_261,-56.0,,
33,1997-09-21 16:42:00,1997-09-22 17:46:48,1997-09-21T22:21:00.000Z,False,F+,15.0016120515,423.9253442057,56.2537955079,WI_19970921_264,-36.0,,
34,1997-10-01 11:45:00,1997-10-02 23:15:48,1997-10-01T17:08:00.000Z,False,Fr,9.6215280985,450.1881310163,30.8602195748,WI_19971001_274,-98.0,,
35,1997-10-10 03:08:00,1997-10-11 22:00:00,1997-10-10T15:33:00.000Z,False,F+,12.0216496665,410.2616438415,36.1516884055,WI_19971010_283,-130.0,,
36,1997-11-06 22:25:00,1997-11-08 22:46:48,1997-11-07T06:00:00.000Z,False,F+,12.9684900767,412.9243702304,47.9075697035,WI_19971106_310,-110.0,,
37,1997-11-22 09:12:00,1997-11-23 18:43:00,1997-11-22T17:31:00.000Z,True,F+,15.9905734447,498.0084562428,15.813727203,WI_19971122_326,-108.0,,
38,1997-12-10 04:33:00,1997-12-12 00:00:12,1997-12-10T19:11:00.000Z,True,Cx,11.7028610198,352.4252829147,19.0276687956,WI_19971210_344,-60.0,,
39,1997-12-30 01:13:00,1997-12-31 08:51:48,1997-12-30T09:35:00.000Z,True,Fr,11.5669184506,366.5249928077,-10.4624682682,WI_19971230_364,-77.0,,
40,1998-01-06 13:29:00,1998-01-08 07:54:48,1998-01-07T02:23:00.000Z,True,F+,16.0927566441,383.3302441561,32.6779867638,WI_19980106_006,-77.0,,
41,1998-01-08 15:35:00,1998-01-08 22:47:00,1998-01-08T15:35:00.000Z,False,F-,10.004381647,368.6001493273,-27.2517643531,WI_19980108_008,-22.0,,
42,1998-01-09 08:23:00,1998-01-09 20:38:00,1998-01-09T08:23:00.000Z,False,Fr,6.7594899035,476.4143964483,13.6281641998,WI_19980109_009,-22.0,,
43,1998-01-21 04:47:00,1998-01-22 13:26:00,1998-01-21T04:47:00.000Z,False,F-,13.0281761551,410.5149072473,36.4509364864,WI_19980121_021,-11.0,,
44,1998-01-28 16:04:00,1998-01-31 00:00:00,1998-01-29T13:12:00.000Z,False,F+,7.8991800757,376.5560106734,18.9668930253,WI_19980128_028,-55.0,,
45,1998-02-02 10:27:00,1998-02-04 02:22:48,1998-02-02T10:27:00.000Z,False,F+,7.7613245185,335.4979990373,15.5192174245,WI_19980202_033,-29.0,,
46,1998-02-04 04:48:00,1998-02-06 08:04:48,1998-02-04T04:48:00.000Z,False,F+,9.6846022299,321.0522406478,32.3901346284,WI_19980204_035,-34.0,,
47,1998-02-17 06:28:00,1998-02-18 14:22:47,1998-02-17T10:48:00.000Z,False,Fr,14.9457268971,396.8503006534,7.8664111985,WI_19980217_048,-100.0,,
48,1998-02-18 14:52:00,1998-02-20 00:44:00,1998-02-18T21:35:00.000Z,False,Fr,8.7045607598,434.5732926503,-20.8662207317,WI_19980218_049,-50.0,,
49,1998-03-04 11:02:00,1998-03-06 07:10:48,1998-03-04T10:48:00.000Z,True,F+,10.0265442568,347.6732348192,36.3378047363,WI_19980304_063,-36.0,,
50,1998-03-06 11:59:00,1998-03-07 16:48:12,1998-03-06T11:59:00.000Z,False,Cx,5.5537073729,325.2443135577,12.6275422959,WI_19980306_065,-16.0,,
51,1998-03-25 10:48:00,1998-03-26 08:57:47,1998-03-25T14:23:00.000Z,False,Fr,10.3524899205,406.6574780798,4.8131359695,WI_19980325_084,-56.0,,
52,1998-03-31 07:11:00,1998-04-01 16:18:48,1998-03-31T11:59:00.000Z,False,Fr,6.2259944891,388.8935921835,35.0493263097,WI_19980331_090,-35.0,,
53,1998-04-01 21:07:00,1998-04-02 19:55:00,1998-04-01T21:07:00.000Z,False,E,6.2074671416,324.780909379,11.112434667,WI_19980401_091,-5.0,,
54,1998-05-01 21:21:00,1998-05-03 16:47:48,1998-05-02T11:31:00.000Z,True,Fr,9.3786397922,519.8393514441,25.1372016289,WI_19980501_121,-85.0,,
55,1998-05-04 02:30:00,1998-05-05 03:12:12,1998-05-04T09:50:00.000Z,False,F-,15.6207142773,652.5381664888,45.9992341444,WI_19980504_124,-205.0,,
56,1998-06-02 10:28:00,1998-06-02 19:16:00,1998-06-02T10:28:00.000Z,True,Fr,9.6802409192,398.0899727221,16.5963585455,WI_19980602_153,-1.0,,
57,1998-06-24 10:47:00,1998-06-25 22:33:12,1998-06-24T13:26:00.000Z,False,F+,12.6909693412,468.1455581727,50.3899079743,WI_19980624_175,-25.0,,
58,1998-07-10 22:36:00,1998-07-12 21:34:48,1998-07-10T22:36:00.000Z,False,F+,10.6663585006,386.287648581,-42.884213512,WI_19980710_191,-35.0,,
59,1998-08-10 00:31:00,1998-08-10 23:30:48,1998-08-10T04:47:00.000Z,True,E,7.7534520381,449.5653755285,18.144924944,WI_19980810_222,-27.0,,
60,1998-08-19 18:40:00,1998-08-21 20:09:12,1998-08-20T08:38:00.000Z,True,F+,12.8986546301,317.4662576009,27.5808108925,WI_19980819_231,-67.0,,
61,1998-08-26 06:40:00,1998-08-28 00:28:00,1998-08-26T21:07:00.000Z,True,E,13.8398530212,659.3653484793,168.586991588,WI_19980826_238,-155.0,,
62,1998-09-23 01:12:00,1998-09-23 17:31:00,1998-09-23T04:19:00.000Z,False,F-,6.4671480048,413.1022541741,75.1140761009,WI_19980923_266,-25.0,,
63,1998-09-24 23:18:00,1998-09-26 17:00:00,1998-09-25T04:33:00.000Z,False,F+,13.2309588134,662.5531302718,136.3074940685,WI_19980924_267,-207.0,,
64,1998-10-02 07:10:00,1998-10-02 22:47:12,1998-10-02T07:10:00.000Z,True,E,7.030016405,656.2155635996,31.9596498388,WI_19981002_275,-56.0,,
65,1998-10-18 19:30:00,1998-10-20 07:11:12,1998-10-19T04:19:00.000Z,False,F+,17.1519865325,395.6801220922,15.3088838384,WI_19981018_291,-112.0,,
66,1998-10-23 12:57:00,1998-10-24 19:26:12,1998-10-23T19:55:00.000Z,True,F-,6.0031262365,494.7835987287,35.9216741876,WI_19981023_296,-52.0,,
67,1998-11-08 04:41:00,1998-11-08 23:30:48,1998-11-08T04:41:00.000Z,True,Cx,26.6621792903,564.6057491246,75.1433388581,WI_19981108_312,-149.0,,
68,1998-11-09 00:44:00,1998-11-10 03:47:00,1998-11-09T00:44:00.000Z,False,F+,14.5988494139,455.8172314499,47.3226813363,WI_19981109_313,-142.0,,
69,1999-01-22 20:21:00,1999-01-23 14:58:48,1999-01-22T20:21:00.000Z,True,E,16.093586508,614.0081091772,36.2850417181,WI_19990122_022,-49.0,,
70,1999-02-11 17:41:00,1999-02-12 03:35:00,1999-02-11T17:41:00.000Z,False,Fr,19.1621126647,442.8762865608,-8.7085076993,WI_19990211_042,-17.0,,
71,1999-02-18 02:48:00,1999-02-19 00:00:12,1999-02-18T09:14:00.000Z,True,E,15.198188898,660.3716476808,7.3815777878,WI_19990218_049,-123.0,,
72,1999-04-16 11:14:00,1999-04-17 19:48:12,1999-04-16T19:11:00.000Z,True,Fr,17.5601695315,417.5403795098,40.2941400744,WI_19990416_106,-91.0,,
73,1999-04-21 12:37:00,1999-04-23 14:23:12,1999-04-21T12:37:00.000Z,True,E,20.6587317311,396.2271800371,-5.7956973871,WI_19990421_111,-29.0,,
74,1999-05-28 21:50:00,1999-05-30 10:47:00,1999-05-28T21:50:00.000Z,False,Cx,6.7324931576,397.0358219934,14.6830223848,WI_19990528_148,-10.0,,
75,1999-06-26 02:31:00,1999-06-27 04:47:12,1999-06-26T02:31:00.000Z,True,Fr,15.1960062273,383.9347754426,-79.5427865077,WI_19990626_177,-15.0,,
76,1999-07-02 00:27:00,1999-07-05 13:13:48,1999-07-03T08:09:00.000Z,True,Fr,4.4212286305,457.6748809066,87.1572573431,WI_19990702_183,-26.0,,
77,1999-07-06 14:23:00,1999-07-07 16:46:47,1999-07-06T19:12:00.000Z,True,Cx,7.2033035485,463.408165064,-8.7556542986,WI_19990706_187,-4.0,,
78,1999-07-30 19:12:00,1999-08-01 00:00:12,1999-07-31T02:02:00.000Z,False,E,7.769282532,574.6509820552,-20.0411091643,WI_19990730_211,-53.0,,
79,1999-08-06 01:55:00,1999-08-07 06:18:12,1999-08-06T14:23:00.000Z,False,Fr,9.5863546676,425.9755193459,-22.0094791055,WI_19990806_218,-23.0,,
80,1999-08-09 10:12:00,1999-08-10 16:04:12,1999-08-09T10:12:00.000Z,False,Fr,9.9004417567,343.2416387454,26.5098557411,WI_19990809_221,-47.0,,
81,1999-09-15 07:43:00,1999-09-15 17:44:48,1999-09-15T07:43:00.000Z,True,E,12.096476143,608.8079519541,36.8829935181,WI_19990915_258,-51.0,,
82,1999-09-21 18:57:00,1999-09-22 11:31:11,1999-09-21T18:57:00.000Z,False,Fr,11.1956776618,358.1291888176,2.0155107977,WI_19990921_264,-41.0,,
83,1999-09-22 12:09:00,1999-09-23 09:35:00,1999-09-22T17:59:00.000Z,True,E,17.8494999093,560.1470760329,26.2390809542,WI_19990922_265,-173.0,,
84,1999-10-21 02:19:00,1999-10-22 06:32:48,1999-10-21T02:19:00.000Z,True,E,21.727415625,465.5474185078,-53.9494680513,WI_19991021_294,-237.0,SA,
85,1999-11-13 12:48:00,1999-11-16 07:17:00,1999-11-14T14:23:00.000Z,True,E,22.788668146,717.1875860712,-103.4339244168,WI_19991113_317,-106.0,,
86,1999-12-12 15:50:00,1999-12-13 18:28:00,1999-12-12T17:31:00.000Z,True,Cx,11.7622558241,592.4435162728,78.8080409307,WI_19991212_346,-69.0,,
87,2000-02-11 23:34:00,2000-02-13 00:35:00,2000-02-12T12:20:00.000Z,True,Fr,12.0564898274,549.3849905688,13.8279230883,WI_20000211_042,-135.0,,
88,2000-02-14 07:11:00,2000-02-15 15:33:48,2000-02-14T13:11:00.000Z,True,E,6.349901963,563.5544218753,77.1284336644,WI_20000214_045,-68.0,,
89,2000-02-20 21:03:00,2000-02-22 13:16:48,2000-02-21T14:24:00.000Z,True,Fr,14.7789732891,378.7646827193,32.0781690918,WI_20000220_051,-25.0,,
90,2000-03-01 01:58:00,2000-03-02 03:07:12,2000-03-01T03:21:00.000Z,False,Fr,7.8724520386,473.235403195,52.1922851457,WI_20000301_061,-44.0,,
91,2000-03-28 02:52:00,2000-03-29 22:47:48,2000-03-28T02:52:00.000Z,False,E,8.3346488611,405.1828310541,-92.0917389726,WI_20000328_088,-16.0,,
92,2000-05-07 03:53:00,2000-05-08 11:59:00,2000-05-07T03:53:00.000Z,False,Cx,10.0847544716,385.0333063527,26.3874211767,WI_20000507_128,-6.0,,
93,2000-06-08 09:07:00,2000-06-10 01:18:48,2000-06-08T16:47:00.000Z,True,E,11.1509986478,647.60084865,131.8335906814,WI_20000608_160,-90.0,,
94,2000-06-23 12:57:00,2000-06-25 23:58:48,2000-06-24T09:00:00.000Z,True,E,7.1729091732,494.4807980898,73.5412598478,WI_20000623_175,-34.0,,
95,2000-07-01 07:12:00,2000-07-02 03:34:48,2000-07-01T07:12:00.000Z,False,Fr,7.873238151,413.0204234506,-11.2414727842,WI_20000701_183,3.0,,
96,2000-07-11 22:35:00,2000-07-13 04:33:12,2000-07-11T22:35:00.000Z,False,Fr,9.7015251904,508.0359702724,35.4072947646,WI_20000711_193,-25.0,,
97,2000-07-13 09:59:00,2000-07-14 15:35:00,2000-07-13T15:35:00.000Z,True,Fr,6.467468754,620.5526639175,20.5693358719,WI_20000713_195,-43.0,,
98,2000-07-15 02:23:00,2000-07-15 14:18:48,2000-07-15T06:47:00.000Z,False,F-,8.8887502345,,,WI_20000715_197_A,-57.0,,
99,2000-07-15 14:23:00,2000-07-16 13:28:00,2000-07-15T17:31:00.000Z,False,F+,35.8019300571,,,WI_20000715_197_B,-300.0,,
100,2000-07-19 15:30:00,2000-07-21 05:31:12,2000-07-19T15:30:00.000Z,True,Cx,8.7108107634,541.603935072,74.7641828722,WI_20000719_201,-92.0,,
101,2000-07-28 06:38:00,2000-07-29 10:06:00,2000-07-28T14:24:00.000Z,True,F+,14.2585744132,462.8704588862,-5.5613137908,WI_20000728_210,-49.0,,
102,2000-07-31 23:28:00,2000-08-01 13:11:48,2000-07-31T23:28:00.000Z,False,Fr,11.2776990944,456.5875000641,1.7339386235,WI_20000731_213,-32.0,,
103,2000-08-10 05:13:00,2000-08-11 18:43:00,2000-08-10T20:52:00.000Z,True,F+,12.2023444445,422.164245987,3.802538353,WI_20000810_223,-105.0,,
104,2000-08-11 18:49:00,2000-08-13 05:05:00,2000-08-12T06:05:00.000Z,True,F+,24.6325254509,578.7138304443,36.7989856837,WI_20000811_224,-234.0,,
105,2000-09-02 23:16:00,2000-09-03 22:32:48,2000-09-02T23:16:00.000Z,False,Fr,6.779708143,408.4659128039,35.0247605162,WI_20000902_246,-19.0,,
106,2000-09-04 13:13:00,2000-09-06 16:47:11,2000-09-04T13:13:00.000Z,True,Cx,8.7751029335,392.40634968,62.8037354612,WI_20000904_248,-36.0,,
107,2000-09-06 17:02:00,2000-09-08 14:22:48,2000-09-07T03:24:00.000Z,True,Cx,8.929728615,443.6861186263,14.2806105235,WI_20000906_250,-47.0,SA,
108,2000-09-17 16:04:00,2000-09-19 12:00:12,2000-09-18T01:53:00.000Z,False,E,13.4289010973,725.5760229883,29.9836421196,WI_20000917_261,-201.0,,
109,2000-10-03 01:02:00,2000-10-05 03:34:48,2000-10-03T09:36:00.000Z,True,F+,13.6722564832,407.7214646166,27.8784006759,WI_20001003_277,-143.0,,
110,2000-10-05 03:28:00,2000-10-06 19:39:48,2000-10-05T19:11:00.000Z,True,Fr,5.1540964166,475.5669061736,77.2371555036,WI_20001005_279,-181.0,,
111,2000-10-12 22:33:00,2000-10-14 19:12:00,2000-10-13T18:24:00.000Z,True,Fr,11.8449550406,400.7389208142,6.8769116049,WI_20001012_286,-106.0,,
